City,DAY,MONTH,YEAR,Wind,Quality_wind
Warszawa,28,6,2001,0.0,0
Warszawa,29,6,2001,3.5,0
Warszawa,30,6,2001,0.0,0
Warszawa,1,7,2001,2.2,0
Warszawa,2,7,2001,0.0,0
Warszawa,3,7,2001,3.7,0
Warszawa,4,7,2001,0.0,0
Warszawa,5,7,2001,2.6,0
Warszawa,6,7,2001,0.0,0
Warszawa,7,7,2001,3.5,0
Warszawa,8,7,2001,0.0,0
Warszawa,9,7,2001,3.5,0
Warszawa,10,7,2001,0.0,0
Warszawa,11,7,2001,4.0,0
Warszawa,12,7,2001,0.0,0
Warszawa,13,7,2001,2.7,0
Warszawa,14,7,2001,0.0,0
Warszawa,15,7,2001,3.5,0
Warszawa,16,7,2001,0.0,0
Warszawa,17,7,2001,3.5,0
Warszawa,18,7,2001,0.0,0
Warszawa,19,7,2001,2.5,0
Warszawa,20,7,2001,0.0,0
Warszawa,21,7,2001,2.2,0
Warszawa,22,7,2001,0.0,0
Warszawa,23,7,2001,5.5,0
Warszawa,24,7,2001,0.0,0
Warszawa,25,7,2001,2.2,0
Warszawa,26,7,2001,0.0,0
Warszawa,27,7,2001,4.0,0
Warszawa,28,7,2001,0.0,0
Warszawa,29,7,2001,1.7,0
Warszawa,30,7,2001,0.0,0
Warszawa,31,7,2001,3.0,0
Warszawa,1,8,2001,0.0,0
Warszawa,2,8,2001,2.5,0
Warszawa,3,8,2001,0.0,0
Warszawa,4,8,2001,3.5,0
Warszawa,5,8,2001,0.0,0
Warszawa,6,8,2001,2.7,0
Warszawa,7,8,2001,0.0,0
Warszawa,8,8,2001,2.5,0
Warszawa,9,8,2001,0.0,0
Warszawa,10,8,2001,3.0,0
Warszawa,11,8,2001,0.0,0
Warszawa,12,8,2001,1.7,0
Warszawa,13,8,2001,0.0,0
Warszawa,14,8,2001,3.2,0
Warszawa,15,8,2001,0.0,0
Warszawa,16,8,2001,3.5,0
Warszawa,17,8,2001,0.0,0
Warszawa,18,8,2001,2.0,0
Warszawa,19,8,2001,0.0,0
Warszawa,20,8,2001,2.5,0
Warszawa,21,8,2001,0.0,0
Warszawa,22,8,2001,1.7,0
Warszawa,23,8,2001,0.0,0
Warszawa,24,8,2001,2.2,0
Warszawa,25,8,2001,0.0,0
Warszawa,26,8,2001,1.0,0
Warszawa,27,8,2001,0.0,0
Warszawa,28,8,2001,6.0,0
Warszawa,29,8,2001,0.0,0
Warszawa,30,8,2001,2.5,0
Warszawa,31,8,2001,0.0,0
Warszawa,1,9,2001,3.0,0
Warszawa,2,9,2001,0.0,0
Warszawa,3,9,2001,3.0,0
Warszawa,4,9,2001,0.0,0
Warszawa,5,9,2001,1.2,0
Warszawa,6,9,2001,0.0,0
Warszawa,7,9,2001,4.0,0
Warszawa,8,9,2001,0.0,0
Warszawa,9,9,2001,5.2,0
Warszawa,10,9,2001,0.0,0
Warszawa,11,9,2001,4.2,0
Warszawa,12,9,2001,0.0,0
Warszawa,13,9,2001,4.0,0
Warszawa,14,9,2001,0.0,0
Warszawa,15,9,2001,2.7,0
Warszawa,16,9,2001,0.0,0
Warszawa,17,9,2001,2.5,0
Warszawa,18,9,2001,0.0,0
Warszawa,19,9,2001,2.5,0
Warszawa,20,9,2001,0.0,0
Warszawa,21,9,2001,4.2,0
Warszawa,22,9,2001,0.0,0
Warszawa,23,9,2001,1.5,0
Warszawa,24,9,2001,0.0,0
Warszawa,25,9,2001,4.0,0
Warszawa,26,9,2001,0.0,0
Warszawa,27,9,2001,2.2,0
Warszawa,28,9,2001,0.0,0
Warszawa,29,9,2001,1.2,0
Warszawa,30,9,2001,0.0,0
Warszawa,1,10,2001,4.0,0
Warszawa,2,10,2001,0.0,0
Warszawa,3,10,2001,4.5,0
Warszawa,4,10,2001,0.0,0
Warszawa,5,10,2001,2.5,0
Warszawa,6,10,2001,0.0,0
Warszawa,7,10,2001,3.0,0
Warszawa,8,10,2001,0.0,0
Warszawa,9,10,2001,1.7,0
Warszawa,10,10,2001,0.0,0
Warszawa,11,10,2001,5.2,0
Warszawa,12,10,2001,0.0,0
Warszawa,13,10,2001,2.7,0
Warszawa,14,10,2001,0.0,0
Warszawa,15,10,2001,1.5,0
Warszawa,16,10,2001,0.0,0
Warszawa,17,10,2001,1.7,0
Warszawa,18,10,2001,0.0,0
Warszawa,19,10,2001,0.5,0
Warszawa,20,10,2001,0.0,0
Warszawa,21,10,2001,4.2,0
Warszawa,22,10,2001,0.0,0
Warszawa,23,10,2001,3.0,0
Warszawa,24,10,2001,3.5,0
Warszawa,25,10,2001,4.5,0
Warszawa,26,10,2001,0.0,0
Warszawa,27,10,2001,2.7,0
Warszawa,28,10,2001,0.0,0
Warszawa,29,10,2001,5.0,0
Warszawa,30,10,2001,0.0,0
Warszawa,31,10,2001,5.5,0
Warszawa,1,11,2001,0.0,0
Warszawa,2,11,2001,5.2,0
Warszawa,3,11,2001,0.0,0
Warszawa,4,11,2001,4.5,0
Warszawa,5,11,2001,0.0,0
Warszawa,6,11,2001,4.7,0
Warszawa,7,11,2001,0.0,0
Warszawa,8,11,2001,4.0,0
Warszawa,9,11,2001,0.0,0
Warszawa,10,11,2001,4.2,0
Warszawa,11,11,2001,0.0,0
Warszawa,12,11,2001,4.5,0
Warszawa,13,11,2001,0.0,0
Warszawa,14,11,2001,3.5,0
Warszawa,15,11,2001,0.0,0
Warszawa,16,11,2001,8.2,0
Warszawa,17,11,2001,0.0,0
Warszawa,18,11,2001,5.5,0
Warszawa,19,11,2001,0.0,0
Warszawa,20,11,2001,2.2,0
Warszawa,21,11,2001,0.0,0
Warszawa,22,11,2001,7.2,0
Warszawa,23,11,2001,0.0,0
Warszawa,24,11,2001,5.5,0
Warszawa,25,11,2001,0.0,0
Warszawa,26,11,2001,2.7,0
Warszawa,27,11,2001,0.0,0
Warszawa,28,11,2001,4.0,0
Warszawa,29,11,2001,0.0,0
Warszawa,30,11,2001,3.7,0
Warszawa,1,12,2001,0.0,0
Warszawa,2,12,2001,3.5,0
Warszawa,3,12,2001,0.0,0
Warszawa,4,12,2001,6.5,0
Warszawa,5,12,2001,0.0,0
Warszawa,6,12,2001,4.2,0
Warszawa,7,12,2001,0.0,0
Warszawa,8,12,2001,1.2,0
Warszawa,9,12,2001,0.0,0
Warszawa,10,12,2001,4.2,0
Warszawa,11,12,2001,0.0,0
Warszawa,12,12,2001,4.0,0
Warszawa,13,12,2001,0.0,0
Warszawa,14,12,2001,3.5,0
Warszawa,15,12,2001,0.0,0
Warszawa,16,12,2001,4.0,0
Warszawa,17,12,2001,0.0,0
Warszawa,18,12,2001,4.5,0
