"Czas uśredniania","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g"
"Jednostka","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3"
"Kod stanowiska","DsLegPolarna-PM2.5-24g","DsOsieczow21-PM2.5-24g","DsWalbrzWyso-PM2.5-24g","DsWrocNaGrob-PM2.5-24g","DsZgorBohGet-PM2.5-24g","KpBydBerling-PM2.5-24g","KpGrudSienki-PM2.5-24g","KpToruDziewu-PM2.5-24g","KpWloclGniaz-PM2.5-24g","KpZielBoryTu-PM2.5-24g","LbBiaPodOrze-PM2.5-24g","LbChelPolan-PM2.5-24g","LbLubSliwins-PM2.5-24g","LbZamoHrubie-PM2.5-24g","LdLodzCzerni-PM2.5-24g","LdLodzLegion-PM2.5-24g","LdPioTrKraPr-PM2.5-24g","LuGorzPilsud-PM2.5-24g","LuZarySzyman-PM2.5-24g","LuZielKrotka-PM2.5-24g","MpBochKonfed-PM2.5-24g","MpKrakBujaka-PM2.5-24g","MpNoSaczNadb-PM2.5-24g","MpTarBitStud-PM2.5-24g","MpTrzebOsZWM-PM2.5-24g","MpZakopaSien-PM2.5-24g","MzPlocKroJad-PM2.5-24g","MzRadHallera-PM2.5-24g","MzWarKondrat-PM2.5-24g","MzWarWokalna-PM2.5-24g","OpKluczMicki-PM2.5-24g","OpOpoleOsAKr-PM2.5-24g","PdBialWarsza-PM2.5-24g","PdLomSikorsk-PM2.5-24g","PkJasloSikor-PM2.5-24g","PkKrosKletow-PM2.5-24g","PkNiskoSzkla-PM2.5-24g","PkRzeszRejta-PM2.5-24g","PmGdaPowWiel-PM2.5-24g","PmSlupKniazi-PM2.5-24g","SkBuskRokosz-PM2.5-24g","SkKielTargow-PM2.5-24g","SkKielWarsza-PM2.5-24g","SkSkarZielnaMOB-PM2.5-24g","SkStaraZlota-PM2.5-24g","SlBielSterni-PM2.5-24g","SlCzestoZana-PM2.5-24g","SlGliwicMewy-PM2.5-24g","SlGodGliniki-PM2.5-24g","SlKatoKossut-PM2.5-24g","SlKatoPlebA4-PM2.5-24g","SlTarnoLitew-PM2.5-24g","SlZlotPotLes-PM2.5-24g","SlZorySikor2-PM2.5-24g","WmElbBazynsk-PM2.5-24g","WmOlsPuszkin-PM2.5-24g","WmOstrPilsud-PM2.5-24g","WmPuszczaBor-PM2.5-24g","WpPleszAlMic-PM2.5-24g","WpPoznDabrow-PM2.5-24g","ZpKoszSpasow-PM2.5-24g","ZpMyslZaBram-PM2.5-24g","ZpSzczAndr01-PM2.5-24g","ZpSzczec1Maj-PM2.5-24g"
"3/28/2019 0:00","12.89","8.67","17.22","14.48","13.58","9.115787","17.945491","15.379244","23.772194","3.925557","71.3","29.1","20.1","27.7","18.7","24.181818","36.545455","6.4","6.4","8.8","36.56","43.73","49.84","","43.46","22.19","16.87","20.67","10.89","16.51","25","19","20.458756","33.289818","43.9","61.3","29.8","45.6","6","8","34.695145","30.774285","19.724222","18.764859","25.208708","48.4","21.2","25.5","42.1","41.1","39.2","19.7","15.4","56.1","18.47","9.44","13.05","5.45","29.68","14.64","10.34","7.62","8.16","7.07"
"3/29/2019 0:00","25.75","8.5","36.25","22.74","27.32","11.233435","11.725553","16.613751","15.332151","4.750147","29.9","27.9","27.3","29.7","29.5","32.909091","37.545455","10.1","20.5","10.8","53.57","59.44","60.93","51.55","61.97","31.62","16.5","28.11","16.69","21.95","39","39","21.98708","20.973154","51.4","49.9","35.1","41.2","5","10","42.660992","38.065844","32.292875","21.860981","32.081818","47.1","57.2","54.7","54.4","62.8","62.6","29.9","17.8","64.7","11.98","8.75","9.53","9.51","31.22","11.5","10.17","15.24","8.7","7.61"
"3/30/2019 0:00","42.59","21.24","42.02","37.68","26.09","22.391394","23.257031","21.576832","37.873069","12.292656","31.8","41.5","25.9","32.9","26","31","62.909091","15.3","30.2","16.2","52.08","59.56","56.74","62.79","48.69","23.33","26.47","36.63","25.94","26.13","50","48","20.714218","39.812532","59.9","76.1","35.8","71.3","24","26","53.216935","50.023374","30.60615","25.841076","29.401069","46.7","","80.5","78.3","56","56.7","54.8","23.2","69","24.03","21.42","24.48","18.38","47.41","29.77","24.86","25.4","14.85","13.4"
"3/31/2019 0:00","26","26.74","29.8","26.26","31.7","18.902292","23.303502","23.977646","28.883493","8.647398","34.4","33.7","31.4","43.5","34.8","39.818182","46.909091","15.6","15.3","13.7","32.55","42.71","33.62","47.91","34.54","19.11","30.64","34.81","38.46","35.74","33","34","27.67397","34.298372","40.8","46.6","37.8","35.5","11","14","36.80718","44.527471","29.946981","24.965476","24.571834","22.5","54.2","43.4","46.4","36","32.7","30.9","26.9","23.9","16.85","18.88","21.01","17.1","43.44","20.53","16.88","23.77","18.48","13.59"
"4/1/2019 0:00","10.1","8.03","14.14","7.22","13.09","9.514008","27.131585","12.549073","13.406484","3.326943","19.5","11.7","8.2","8.5","17.181818","11.636364","13","13.8","7.9","9.4","13.77","13.11","15.57","12.19","10.07","13.61","10.15","13.42","11.25","7.62","12","7","20.839084","21.54558","9.86","11.6","10","10.5","8","7","9.748137","8.483219","7.786743","12.816972","7.738896","13","9","10.3","19.6","13.9","10.3","10.9","11.9","12.1","10.56","9.27","13.56","6.68","19.69","9.86","10.16","15.24","13.77","10.51"
"4/2/2019 0:00","19.81","20.65","17.76","16.94","21.54","10.708807","19.214754","","29.370952","9.874787","15.8","15","13.2","16.1","14.181818","15.545455","16.181818","32.7","19.4","17.8","20.95","20.86","28.11","19.8","19.8","29.03","17.77","23.94","14.7","14.15","15","17","17.416382","15.378945","20","18.2","18","16","13","12","15.974326","18.509093","12.535739","18.403657","18.831381","25.9","15.2","20.8","32.4","20.1","18.9","20.8","10.3","18","14.12","17.49","17.56","6.23","21.84","19.5","21.06","24.86","23.37","27.9"
"4/3/2019 0:00","27.23","21.7","20.99","26.17","25.96","19.194691","26.901696","","19.71791","18.608372","19.8","21.2","17.2","19.2","25.727273","23.363636","27.818182","36.2","28.1","27.9","31.29","","37.5","28.52","29.69","22.42","25.93","30.83","21.59","21.41","24","25","24.125639","26.007413","35.2","33.7","24.3","26.6","19","20","27.589058","27.867471","23.08975","24.179573","25.230568","25.1","26.5","37.7","35.8","30.7","33.8","32.8","20","26.2","21.54","24.79","22.78","15.63","28.35","26.37","25.41","32.11","30.44","26.63"
"4/4/2019 0:00","20.39","17.46","19.3","23.66","20.62","25.728476","30.951106","","27.524004","23.543507","23.2","19.8","21.8","23.9","32.272727","28.363636","31.545455","38.1","18.9","22.3","32.81","36.72","40.46","29.31","29.56","18.98","32.46","34.82","26.49","27.58","28","19","27.134873","28.182058","35.2","33","30.4","29.3","25","25","30.350178","32.081247","26.508877","26.581054","29.228867","25.6","27.8","34.1","30.1","29.4","33.3","27.8","25","22.6","25.5","29.92","27.61","19.53","32.48","29.51","28.12","29.39","31.16","29.35"
"4/5/2019 0:00","21.76","17.51","27.93","21.95","25.61","27.675327","35.675491","","30.533684","24.789904","23.5","22.1","26.8","29.4","32.636364","31","32.545455","28.8","19.7","18.9","27.76","34.52","33.62","28.4","25.54","22.5","33.18","35.18","27.58","27.4","24","21","28.882682","26.738308","32.2","29.9","29.2","31.1","29","27","29.319718","29.761636","25.976299","29.658485","31.646605","30.5","26.7","37.7","43.6","31.2","30.1","26.1","23","24.8","25.03","28.92","28.91","27.16","30.77","26.87","28.3","34.65","30.61","30.43"
"4/6/2019 0:00","39.07","28.42","35.79","26.75","40.83","23.426406","30.753759","","25.959095","20.646735","23.9","21","25.1","24.9","27.818182","24.181818","30.818182","25","30.5","28","43.59","39.47","48.98","36.76","32.97","17.38","28.47","33","25.4","24.49","40","26","27.311191","29.653276","36.6","30.9","24.3","26.4","30","24","28.507949","28.759852","25.435856","27.582323","24.954545","32.3","32.9","38.8","","35.8","34.3","41.9","25.4","34.5","22.34","27.46","27.71","23.88","33.6","26.44","26.85","33.74","31.89","28.26"
"4/7/2019 0:00","33.9","30.67","31.17","28.7","37.59","26.086752","38.484705","","34.979791","22.11102","30.6","26.5","22.3","31.6","29.545455","29.363636","39.636364","21.2","26","23.6","29.31","29.93","23.9","29.49","27.81","13.62","36.08","29.01","35.56","28.48","36","31","37.936984","33.675139","14.8","12.9","20.7","21","50","31","25.549942","24.040804","15.997272","22.708647","25.7","22.1","27.2","37.5","32.5","35.6","35.9","31.9","16.9","10.5","34.57","26.51","29.76","24.13","48.42","29.14","27.4","28.48","27.18","24.63"
"4/8/2019 0:00","40.7","27.24","44.67","39.01","33.85","27.462687","50.847131","","29.560719","20.099017","49.3","26","37.8","36.6","27.818182","31.454545","43.272727","23.8","28.2","29.1","43.55","48.52","32.97","42.68","23.79","20.13","37.35","49.87","45.36","43.18","24","28","35.997872","32.958233","22.1","23.1","28.1","27.9","27","28","25.172162","26.207825","18.496597","28.106824","38.101386","31","27.9","35.6","46.5","36.6","35.5","27.3","15.4","23.6","30","31.15","33.37","22.5","50.81","29.64","31.59","33.02","26.99","28.08"
"4/9/2019 0:00","25.25","25.22","37.51","27.53","31.91","8.901143","13.828877","","11.91351","8.645805","22.2","25","23.3","22.4","20.636364","20.181818","25.454545","17.4","19.4","17.2","40.98","44.97","30.11","38.98","26.25","26.52","13.42","31.73","12.52","15.97","27","27","14.621078","13.182743","28.1","26.3","27.8","28.5","5","10","29.032147","26.260931","22.638438","23.900125","29.981994","35.7","33.1","41","61.7","46.7","36.7","36.2","22.6","40","7.62","8.54","11.5","6.7","26.97","16.78","9.08","15.78","13.05","14.68"
"4/10/2019 0:00","12.34","13.03","18.8","13.57","19.33","9.607173","18.66384","","12.009302","7.529784","11.6","15.1","13.6","14.9","12.818182","12.909091","17.454545","15.1","17.2","11.9","26.48","27.4","20.53","22.35","18.96","30","12.33","17.23","12.34","12.88","15","31","21.45798","22.979719","19.8","21.3","16.4","17.7","4","13","17.914774","15.648012","14.207348","13.854591","14.641155","28.4","16.2","","37.5","24.9","23.4","23","12.3","20.8","6.95","6.97","12.96","8.2","20.71","11.81","6.54","14.7","10.33","11.05"
"4/11/2019 0:00","11.99","11.07","17.16","14.24","13.78","4.052458","14.57545","4.454406","12.333305","6.235296","12.9","14.6","13","11.5","14.181818","15.636364","19","10.7","14.4","10.6","27.98","25.65","24.32","21.66","20.18","21.8","13.24","15.23","15.97","16.87","16","16","16.195979","17.304745","16.7","16.6","16.2","14.4","3","6","20.934326","15.107512","15.762795","13.295112","13.094718","29","13.8","19.8","37.8","16.8","18.9","20.6","10.9","23.7","6.89","7.22","9.44","10.02","26.35","9.05","4.54","12.16","10.15","8.15"
"4/12/2019 0:00","14.27","11.92","20.27","16.19","18.76","5.137668","14.646394","10.323539","14.353414","7.415376","10","14.8","10.1","12","15.181818","16","18.272727","14.8","17.3","13.2","22.15","22.66","20.66","18.71","16.87","9.95","14.33","15.59","15.97","12.7","15","17","12.602463","19.294082","14.7","16","19.5","13.1","6","8","17.856885","16.658876","14.409378","13.367246","11.610991","22.7","15.4","18.8","33.9","24.2","21.2","20.2","11.4","21.2","10.61","12.16","14.37","9.93","22.34","11.02","7.99","14.15","10.15","15.4"
"4/13/2019 0:00","16.77","14.83","26.73","19.59","23.06","12.137986","15.952474","14.875255","15.719552","8.94028","11.9","19.5","14","18.6","14.181818","14.363636","29.181818","15.6","18.1","13","39.53","38.01","49.56","23.75","28.56","34.28","15.59","19.04","17.05","15.78","25","23","13.537242","24.386657","25.6","21","19.3","22.7","8","12","20.621218","19.329688","18.533223","18.918026","16.58212","43.8","20","28","45.5","28","31","23.4","15.9","39.1","12.92","13.03","16.44","8.56","26.68","13.61","11.07","18.32","13.41","13.41"
"4/14/2019 0:00","17.16","13.77","23.18","18.87","20.6","15.540086","16.101148","12.101225","10.875436","9.442867","9.4","17.4","11.9","17.4","22.545455","15.454545","17.181818","9.3","16.6","13.7","35.26","33.53","45.63","19.44","19.56","28.14","13.06","17.59","11.79","10.52","17","19","11.349893","12.4295","25.4","21.9","18","22.2","8","9","16.877195","14.492911","13.814124","14.143186","13.081818","35.6","15.5","27.2","39.3","23.6","21.9","24.3","10","25","15.34","13.47","14.57","6.59","21.05","12.11","9.98","18.51","13.05","13.95"
"4/15/2019 0:00","16.47","11.24","34.35","13.57","18.02","9.914138","18.877181","14.3697","9.768005","7.375625","11.7","15.7","12.6","15.6","20.636364","14.363636","22.727273","11.6","16","13.8","23.1","31.42","34.85","21.75","15.76","21.2","14.87","23.57","17.78","10.89","17","16","11.588201","15.689009","27.9","22","18.3","24.5","7","9","15.403941","16.87485","13.119594","21.661901","25.372727","19.5","17.7","23.2","36.1","25.2","","21.4","12","20.3","10.57","15.03","16.83","8.36","24.91","12.28","9.26","14.88","12.32","13.04"
"4/16/2019 0:00","26.21","15.18","39.39","15.26","22.81","12.498417","18.958031","15.413097","15.335582","8.466185","22.3","19.9","16","16.6","13.545455","15.636364","23.818182","20","19.2","16","26.38","33.52","23.73","25.36","13.83","15.12","17.04","28.65","18.51","16.69","19","18","18.223652","24.42355","19","21.7","19.1","26.2","9","11","14.881946","19.744976","13.615197","22.672913","30.065134","23.6","16.1","27.7","44.9","26","18.5","19.2","7.8","21.4","11.15","15.19","14.6","13.22","23.36","15.45","12.16","19.23","16.66","16.84"
"4/17/2019 0:00","23.67","14.12","38.12","14.43","25.09","12.535771","18.521476","16.180113","18.02877","9.355602","31.2","28.9","18.9","20.3","18.090909","20","22","18.7","24","17.9","29.82","30.53","43.57","24.95","16.5","35.41","19.22","28.83","21.05","16.87","17","19","19.337864","31.922485","24.9","26.3","23.2","22.4","10","12","16.07598","21.252403","12.70717","22.997594","17.678191","29.5","16.1","29.8","46.7","25.5","28.8","25.5","11.4","27","17.86","20.08","19.91","11.47","29.06","15.39","13.25","19.23","18.3","18.83"
"4/18/2019 0:00","26.12","18.82","46.13","17.7","24.51","16.731906","26.330745","26.344464","19.156008","12.223301","33.4","32.1","20.1","20.5","19.272727","23.636364","32.363636","19.7","24.4","19.9","35.9","39.2","50.78","31.51","19.33","25.08","21.22","33.55","31.75","23.59","23","28","25.552502","27.207562","31","32.7","23.3","32.6","14","15","19.549901","25.096786","15.756398","24.370211","36.655212","30.4","21.2","40.7","72","35.5","35.3","26.6","15.9","30.7","24.86","23.38","22.68","13.07","38.53","19.11","18.87","26.67","21.56","21.73"
"4/19/2019 0:00","25.55","16.8","39.38","20.88","22.99","14.073832","15.209744","17.014949","14.680682","12.558224","36.3","24.5","16.8","17.7","17.272727","19.272727","24.090909","18.2","24.6","20.1","32.2","34.95","36.08","36.17","22.5","19.65","16.32","28.65","20.5","17.78","22","22","23.518003","20.573703","32.3","32.7","21.3","27.8","9","12","18.58528","24.888866","15.381495","20.669027","28.808905","29.2","25.5","31.3","58.9","31.4","27.1","23","12.9","29.1","13.59","19.08","17.96","16","30.14","18.49","14.15","16.51","18.48","18.29"
"4/20/2019 0:00","19.65","16.88","27.2","15.62","19.72","9.351677","18.289071","13.767831","12.279939","9.433721","39","21.8","20.5","20.1","14.818182","13.636364","22.818182","9.9","22.3","17.6","22.81","26.08","26.36","28.45","21.18","16.5","14.87","31.73","15.97","14.88","21","20","20.355985","16.251659","21.3","22.8","23.7","23.5","8","15","17.331554","17.227034","14.368934","14.278726","27.708564","19.3","28.5","20.1","39","21.9","25.8","20","12.1","23.9","14.64","12.27","12.93","16.96","28.77","10.21","11.98","12.34","12.86","12.68"
"4/21/2019 0:00","13.72","10.8","19.81","10.12","15.19","9.098704","23.167211","16.359629","10.4785","9.79682","16.2","13.9","13","14.1","11","11.545455","12.727273","7.4","10.2","8.8","17.07","20.27","21.31","17.98","16.05","15.5","13.06","14.32","12.34","10.7","17","13","11.977016","12.465862","19.6","17.8","15.1","16.5","10","16","13.464951","13.887861","10.998182","12.085536","15.64006","20","12.6","14.3","38.2","16.4","12.7","11.3","10.3","18","12.69","11.36","13.23","11.34","18.13","10.68","14.51","11.43","12.14","11.05"
"4/22/2019 0:00","12.15","12.72","18.29","10.68","16.16","13.424956","","12.395644","12.552941","9.756717","14.5","16.9","15.6","15.5","11.272727","13.818182","14.454545","33","9.9","10.9","14.24","18.05","15.65","14.1","18.01","12.73","13.06","14.14","15.24","13.79","13","13","19.341201","18.076796","14.1","11.6","14.7","12.5","13","11","12.173882","13.599291","12.183333","13.322093","11.703617","17","14.7","16.8","32.3","25.9","16.2","16.4","10","18.9","13.38","17.36","15.71","18.49","15.48","12.38","12.34","15.06","15.76","11.77"
"4/23/2019 0:00","16.3","15.95","17.11","14.63","16.69","30.645491","62.458394","14.026761","26.446173","25.702671","24.8","24.1","16.4","15.8","14.181818","18.272727","19.181818","41.6","13.1","17.7","14.86","17.94","15.1","14.21","13.04","15.81","38.44","24.84","","21.59","16","14","33.407188","29.007692","12.2","12.7","15.1","12","26","39","12.608303","17.579038","19.754329","23.26845","18.128262","14.2","18","15.7","19.2","21.4","17.1","16.9","10.4","","41.73","60.56","52.44","31.63","23.6","23.89","64.96","33.74","50.92","48.92"
"4/24/2019 0:00","15.11","14.91","16.05","14.94","16.99","19.846834","","12.874495","14.120028","16.496902","13.6","13.4","14.4","12.4","17.272727","15.363636","18.454545","19.2","13.4","16.5","15.92","16.81","19.14","17.16","13.33","15.88","16.5","20.31","15.42","15.6","15","18","33.412407","22.017392","14.7","13.9","16.1","13.8","20","18","12.48987","14.537979","14.973231","15.90336","17.046074","14.5","15.5","18.5","22.4","19.1","17.4","15.7","15","15.8","28.22","28.98","22.79","33.44","16.86","6.65","24.5","19.23","22.47","21.38"
"4/25/2019 0:00","12.84","10.57","13.23","14.77","11.16","21.802694","10.99922","14.804205","21.66258","16.124601","13.1","15.5","14.3","13.7","19.727273","21.090909","25.545455","15.2","8.3","11.1","17.58","25.61","20.24","17.63","15.19","17.43","18.31","21.22","18.69","19.59","16","15","20.631176","19.547955","17.3","17.9","20","16.2","20","22","16.317719","17.732448","15.893359","14.657781","17.368373","","19.5","20.2","20.6","18.2","20.6","35.3","15.6","19.9","20.27","22.64","18.86","17.15","23.27","23.01","25.58","16.69","17.03","20.29"
"4/26/2019 0:00","14.56","12.76","12.15","16.08","15.38","26.074699","30.030084","23.653847","26.74799","18.316302","18.5","20","16","17.3","23.363636","21.090909","24.909091","23.9","10.1","16.8","21.73","28.82","23.81","14.44","18.23","22.48","","26.66","23.77","23.4","18","15","22.840588","22.231829","17.2","18.7","20.9","15.9","26","22","18.062958","24.419958","18.754254","18.466437","19.739953","19.7","21.8","20.7","27.1","19.2","21.4","33.3","15.9","21.9","22.81","25.27","21.65","21.54","22.93","25.84","23.4","24.13","25.53","21.18"
"4/27/2019 0:00","11.05","8.74","9.4","10","11.95","16.44594","21.05278","19.841653","21.864404","13.929027","20.5","21.1","17","16.4","23.727273","20.636364","21.727273","9.9","5.9","10.2","14.54","19.74","22.2","12.95","16.72","15.37","","24.66","23.77","22.68","11","12","31.019296","29.906956","18.6","20.5","19.3","17.2","47","16","14.592282","17.524767","16.515576","16.07511","17.117871","10.5","14.5","12.6","16.1","14.8","13","12.3","12.1","15.1","24.43","27.89","25.52","26.83","20.54","15.98","13.43","13.06","9.97",""
"4/28/2019 0:00","6.78","5.99","8.01","7.17","8.22","6.802155","8.641593","6.834485","7.238259","4.731232","17","16.4","12.2","14.8","16.818182","15.545455","20.909091","6.1","5.3","4.5","15.43","18.96","12.84","8.2","16.1","5.5","","11.97","7.98","8.53","10","10","23.66419","17.313824","8.97","13.3","12.7","9.1","10","8","11.308072","12.534608","11.466229","8.430105","10.8","13.3","11","12.5","13.2","13.8","14.9","12","12.7","13.1","9.08","11.83","8.9","12.7","18.42","12.69","6.71","8.89","13.41","6.34"
"4/29/2019 0:00","11.71","8.93","8.24","12.53","12.21","13.914094","10.584582","15.325253","13.334498","11.366645","21.9","12.7","11.6","6.3","22.181818","21.090909","24.272727","11.7","9.5","11.5","24.92","13.24","13.95","15.57","10.13","9.71","","18.13","23.77","21.95","11","7","26.040248","23.288161","8.47","9.23","6.91","7.86","20","10","7.08462","8.681417","8.321336","10.533194","9.448375","9.3","9.9","7.3","10.1","10.5","9.5","8.6","12.6","13.8","15.2","19.62","19.55","19.24","22.53","13.69","13.24","14.15","14.31","12.14"
"4/30/2019 0:00","13.04","9.38","13.24","15.5","17.4","12.465782","12.758754","9.986859","19.106298","8.198448","14.8","7.7","9.8","3.9","21.545455","17.636364","22.909091","7.9","7.8","12.4","21.26","17.38","10.82","8.83","9.98","5.43","","16.86","21.59","18.87","20","19","21.347537","22.880096","7.58","8.77","6.84","6.83","21","12","11.894942","11.984024","11.640411","11.020353","13.064111","16.2","16.9","16","23.1","12.4","15.8","14.9","11.3","15.4","11.76","15.83","16.04","13.02","20.89","10.81","8.9","10.89","9.79","9.96"
"5/1/2019 0:00","24.84","18.8","15.33","16.52","45.72","14.545376","16.321509","13.244242","14.844164","10.177133","17","9.5","11.1","6.4","15.727273","11.181818","15.909091","12.5","10.6","14.1","24.92","20.86","19.33","15.57","14.95","13.15","13.78","24.48","16.51","18.51","14","16","17.328189","21.000011","12.7","14.6","13.9","12.4","19","7","14.677802","16.198519","14.990767","13.900021","17.532692","19.8","14.6","15.4","21.4","17.8","16.8","14.8","10.4","23.2","11.42","10.54","13.93","14.69","19.11","15.02","17.06","15.97","15.94","14.68"
"5/2/2019 0:00","16.11","11.4","17.17","15.98","20.39","11.615915","12.833712","12.419575","15.207023","7.158957","17.5","15.4","10.1","11.8","22.545455","18.363636","20","10.7","10.1","10.2","21.26","20.73","20.31","8.83","19.22","19.84","17.41","19.4","19.96","17.05","15","16","19.233039","23.043232","16.6","18.5","15.3","18","17","8","16.314908","15.367956","15.6489","12.555126","14.463899","16.3","14.5","14.2","21.9","17.2","16.2","15.2","14","18.9","10.15","9.43","12.64","","15.67","13.07","7.26","11.25","10.15","6.71"
"5/3/2019 0:00","8.26","6.36","11.97","9.32","9.74","5.337444","9.496843","6.198689","6.783483","4.709907","21.8","13.8","12.3","12.9","13.181818","10.818182","15.545455","5.9","6.2","7.3","22.9","21.8","20.69","17.61","21.09","19.73","8.52","15.78","8.16","8.16","11","13","11.107418","11.902708","17.4","18.7","14.5","14.8","11","6","14.628491","15.467583","15.257678","9.630937","11.95498","18.4","12.7","16.8","23.3","13.9","22.7","13.9","12.4","20.5","6.16","4.53","5.21","6.47","10.02","8.1","3.99","5.26","5.08","3.99"
"5/4/2019 0:00","8.56","6.71","11.85","7.6","11.8","7.093148","12.654545","10.083016","11.749706","5.842446","14.4","11.3","9.9","11.1","16.727273","13.363636","17.090909","6.3","6.9","6.9","13.84","14.52","14.48","9.93","17.19","14.26","13.78","12.15","13.06","11.61","9","9","17.451468","16.869163","10.6","12.5","14.2","9.28","12","8","10.881069","9.762506","9.912409","8.908778","10.118182","15.7","12.2","16.8","15.7","15.1","21.1","14.6","11.5","12.6","6.41","9.4","10.12","12.12","12.75","10.04","4.54","5.99","4.89","5.8"
"5/5/2019 0:00","6.69","5.65","7.46","6.71","7.63","5.247026","10.382616","10.794242","7.438636","4.641332","14.8","13.4","10.3","12.3","9.181818","8.363636","12.818182","5.4","4.4","8.9","22.91","12","17.83","13.95","11.07","15.87","7.25","9.25","5.44","5.81","9","8","11.833535","10.504621","13.9","20.4","13.9","12.2","11","9","10.934833","6.560531","7.775853","6.652117","8.027127","11.9","15.4","9.4","11.9","14.2","10","7.1","10.4","8.4","","5.23","9.15","6.05","24.82","8.21","9.26","8.71","7.25","5.98"
"5/6/2019 0:00","7.81","7.03","7.71","6.87","7.74","10.186137","28.131517","14.47728","12.788189","4.08699","8.9","7.9","4.8","4.3","13.636364","13.545455","13.454545","9.2","10.3","8.3","15.81","10.77","14.86","8.21","10.84","16.96","10.7","10.15","7.26","7.62","13","11","9.143606","11.122572","8.24","13","10.1","7.52","21","8","7.562372","6.253711","6.605498","4.973301","6.336594","14.1","11","10.5","17.1","12.8","12.9","8.6","8.9","10.6","","7.73","11.18","5.22","23.56","11.39","7.62","6.89","5.8","6.52"
"5/7/2019 0:00","12.46","10.91","14.95","10.49","13.77","8.593754","15.334664","10.754563","18.73705","5.309096","19.8","9.5","7.5","5.9","12.363636","15.090909","19.545455","7.4","12.4","9.2","17.34","17.89","19.56","14.28","12.53","25.1","11.79","13.06","9.62","13.06","13","16","11.297383","14.722533","11.6","16.1","13.6","9.66","22","7","9.899775","12.137894","9.863927","9.802205","10.764224","16.6","13.2","17.2","31.4","15.1","19.2","11.1","8.9","9.4","","9.18","11.85","5.59","16.55","9.67","5.81","8.16","7.07","8.13"
"5/8/2019 0:00","13.96","8.79","13.49","13.98","11.3","13.425855","16.415811","13.251583","15.205142","8.139178","20.5","9.7","10","11.7","20.818182","20.909091","21.727273","16","13.5","12.1","17.3","18.74","18.05","14.86","18.31","18.98","17.77","18.86","12.34","17.24","15","18","21.118739","16.751012","13.2","15.5","13.7","12.4","23","9","15.423297","14.168499","12.866367","13.132575","17.514823","17","21.3","32.5","29.4","23.6","26.3","22.1","15.5","22.6","9.72","11.93","11.51","5.89","20.5","19","12.16","13.06","13.22","13.77"
"5/9/2019 0:00","8.96","6.33","11.78","12.71","8.11","14.872068","20.936978","15.965538","13.098602","13.109533","14.8","9.9","11.5","12.6","17.818182","18.363636","20.363636","10.1","9.6","10","18.78","20.91","22.6","14.04","16.21","18.71","15.41","17.04","12.52","11.43","17","19","11.514544","14.653784","15.8","13.1","12.2","11.6","25","14","13.283544","11.767551","12.154144","11.128902","13.643558","16.9","18.7","28","17.7","23.8","25.8","22.6","18.7","19.9","17.68","17.47","18.82","16.95","20.15","19.84","20.14","12.7","12.14","19.75"
"5/10/2019 0:00","9.37","6.07","9.57","10.02","5.69","16.12162","18.659348","16.931898","12.825247","11.963909","23.3","13.6","17.6","11.1","18.545455","21.454545","16.545455","10.9","9.1","8.1","11.37","14.12","19.69","13.41","12.59","10.44","17.59","18.68","23.4","17.24","12","10","17.83253","23.950726","11.9","12","12.5","9.66","36","11","14.980138","15.052277","15.167237","14.13439","18.318515","11.4","19","19.1","14.7","18.8","24.2","17.1","16.2","12.9","16.86","16.36","18.05","12.11","19.02","16.99","16.15","11.79","9.42","13.23"
"5/11/2019 0:00","13.23","8.71","15.4","10.81","11.54","8.050481","14.760645","11.537428","10.623957","","24.8","22.2","17.9","12.9","14.272727","30","11.090909","7.9","9.9","8","12.35","13.84","17.65","14.37","13.39","14.35","14.87","15.78","19.96","15.24","10","10","24.29538","23.188079","15.6","17.2","16.3","15.6","10","7","12.652037","11.695632","10.629102","14.468005","","13.4","12.7","17.2","17.9","15","17.1","12.2","11.2","13.8","12.94","16.19","12.75","14.22","20.04","8.66","7.8","7.26","7.07","6.7"
