"Czas uśredniania","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g"
"Jednostka","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3"
"Kod stanowiska","DsLegPolarna-PM2.5-24g","DsOsieczow21-PM2.5-24g","DsWalbrzWyso-PM2.5-24g","DsWrocNaGrob-PM2.5-24g","DsZgorBohGet-PM2.5-24g","KpBydBerling-PM2.5-24g","KpGrudSienki-PM2.5-24g","KpToruDziewu-PM2.5-24g","KpWloclGniaz-PM2.5-24g","KpZielBoryTu-PM2.5-24g","LbBiaPodOrze-PM2.5-24g","LbChelPolan-PM2.5-24g","LbLubSliwins-PM2.5-24g","LbZamoHrubie-PM2.5-24g","LdLodzCzerni-PM2.5-24g","LdLodzLegion-PM2.5-24g","LdPioTrKraPr-PM2.5-24g","LuGorzPilsud-PM2.5-24g","LuZarySzyman-PM2.5-24g","LuZielKrotka-PM2.5-24g","MpBochKonfed-PM2.5-24g","MpKrakBujaka-PM2.5-24g","MpNoSaczNadb-PM2.5-24g","MpTarBitStud-PM2.5-24g","MpTrzebOsZWM-PM2.5-24g","MpZakopaSien-PM2.5-24g","MzPlocKroJad-PM2.5-24g","MzRadHallera-PM2.5-24g","MzWarKondrat-PM2.5-24g","MzWarWokalna-PM2.5-24g","OpKluczMicki-PM2.5-24g","OpOpoleOsAKr-PM2.5-24g","PdBialWarsza-PM2.5-24g","PdLomSikorsk-PM2.5-24g","PkJasloSikor-PM2.5-24g","PkKrosKletow-PM2.5-24g","PkNiskoSzkla-PM2.5-24g","PkRzeszRejta-PM2.5-24g","PmGdaPowWiel-PM2.5-24g","PmSlupKniazi-PM2.5-24g","SkBuskRokosz-PM2.5-24g","SkKielTargow-PM2.5-24g","SkKielWarsza-PM2.5-24g","SkSkarZielnaMOB-PM2.5-24g","SkStaraZlota-PM2.5-24g","SlBielSterni-PM2.5-24g","SlCzestoZana-PM2.5-24g","SlGliwicMewy-PM2.5-24g","SlGodGliniki-PM2.5-24g","SlKatoKossut-PM2.5-24g","SlKatoPlebA4-PM2.5-24g","SlTarnoLitew-PM2.5-24g","SlZlotPotLes-PM2.5-24g","SlZorySikor2-PM2.5-24g","WmElbBazynsk-PM2.5-24g","WmOlsPuszkin-PM2.5-24g","WmOstrPilsud-PM2.5-24g","WmPuszczaBor-PM2.5-24g","WpPleszAlMic-PM2.5-24g","WpPoznDabrow-PM2.5-24g","ZpKoszSpasow-PM2.5-24g","ZpMyslZaBram-PM2.5-24g","ZpSzczAndr01-PM2.5-24g","ZpSzczec1Maj-PM2.5-24g"
"1/6/2019 0:00","12.54","7.81","10.22","7.87","10.41","6.203878","32.007402","9.718075","19.815961","5.633765","16","10.8","8.3","8.9","15","21.909091","22.727273","","6.7","13.1","21.46","8.94","","14.52","10.1","10.69","9.64","9.79","13.24","6.53","14","7","11.749132","30.397455","10.8","14.8","14.2","11.8","6","19","52.865933","8.058505","11.946396","9.766454","9.738311","12.4","11.2","8.4","","14.2","14.2","11.7","9.6","","11.69","14.55","17.79","7.69","17.07","8.8","8.35","8.89","7.98",""
"1/7/2019 0:00","27.26","12.44","23.04","23.36","20.92","22.26527","38.449264","32.688654","45.915035","9.535034","57.9","19.6","22.4","46.6","52.181818","71.909091","90","","10.6","19.8","47.6","45.14","61.84","49.85","62.24","42.2","38.55","54.22","38.64","37.56","29","32","24.267744","44.445413","41.8","73.9","79.7","64.8","10","1","35.912006","50.990663","46.071057","35.383021","46.384348","40.5","93.3","85.2","","63.9","70.8","68.6","35.4","","27.19","28.08","34.02","22.22","26.24","32.09","14.88","22.32","3.81",""
"1/8/2019 0:00","7.39","4.17","10.41","9.45","7.68","20.347812","32.183611","20.722336","21.519029","7.454128","31.8","24.6","27.6","25.8","29.909091","37.363636","47.272727","6.2","6.9","7.1","33.59","24.83","55.77","26.16","35.56","56.54","34.91163","40.62","35.56","33.93","20","22","30.001453","50.994557","40.9","45.5","49.1","36","17","8","47.546671","36.737567","33.601556","31.518749","33.593352","15.5","21","17.2","12","19","31.9","27.2","25.3","20.7","27.84","42.22","34.61","33.14","17.98","9.8","11.26","7.44","3.63","5.26"
"1/9/2019 0:00","12.56","8.28","7.15","10.35","10.83","31.838089","45.460015","32.293676","41.512345","14.447506","28.3","25.1","32.8","34.2","27.181818","36.363636","47.545455","8.5","7.9","10.9","42.6","37.49","66.3","40.07","42.84","70.97","38.55","41.7","38.64","35.01","21","23","26.437583","39.914433","31","28.8","44","33.8","26","19","74.393293","49.624052","42.40775","46.880641","45.020637","40.6","21.3","50.5","57.5","45.8","54","47.9","15.8","52.6","37.59","45.1","45.57","27.75","27.09","18.47","14.34","13.79","2.9","15.05"
"1/10/2019 0:00","24.56","13.66","17.53","29.85","14.63","31.569254","55.740529","36.549917","55.187317","9.808175","30.3","41.4","41.7","41.1","53.545455","55.727273","63.636364","7.1","8.1","11.3","83.19","72.55","109.82","70.29","55.08","41.88","46.37","50.77","39.37","37.74","49","38","24.062909","48.782215","79.2","74.1","47.9","65.3","26","15","56.73275","59.5179","58.035456","56.245193","58.674861","76","44.7","46.6","66.8","56.8","58.5","42.3","47.4","58.6","37.47","37.91","57.04","27.06","59.35","16.81","3.99","6.17","2.9","6.35"
"1/11/2019 0:00","11.71","8.46","17.18","14.44","15.84","21.68652","45.834411","37.725961","33.217454","7.624687","42","35.7","46.1","47.6","39.545455","43.454545","50.272727","9.6","9.2","11.7","65.81","65.65","110.29","67.45","51.57","35.76","36.91","46.06","41","41.18","30","30","35.83676","54.637466","95.9","82.4","54.8","58.1","13","11","21.938849","46.453038","40.585045","37.659412","45.43719","34.9","37.2","44.7","42.6","35.5","63.6","46.8","41.1","44.9","35.9","29.24","33.13","37.28","35.29","16.89","9.26","10.34","3.08","5.62"
"1/12/2019 0:00","10.48","6.42","10.9","8.91","10.52","13.243643","25.155109","14.101078","16.480128","5.896229","28.5","24.1","18.6","24.6","17.090909","25","19.181818","15","11.8","14.8","22.68","23.79","27.38","27.14","29.31","12.77","14.73","19.95","14.51","14.88","12","9","16.776908","36.181684","51.1","35.8","22.8","32.9","6","11","15.629371","20.740075","17.468195","13.195589","22.790909","15","12.7","18.3","16.6","24.7","28.9","17.2","13","21.3","15.03","12.68","14.81","7.59","22.62","12.33","7.81","5.99","3.99","4.71"
"1/13/2019 0:00","5.28","3.52","11.14","","6.76","3.780732","13.570862","8.043962","11.460526","2.827176","22.6","18.1","16.9","16.7","11.727273","15.181818","11.090909","5.4","7.6","5.7","8.58","8.36","27.81","21.55","9","8.36","8.36","14.69","10.7","10.16","6","2.5","14.084712","32.676949","18.2","14.8","22.1","16.2","3","3","7.662081","15.845172","13.805176","10.794828","16.596944","8.5","10","15.9","7","11.8","13.2","14.6","11.3","8.8","8.91","9.83","10.2","7.72","10.15","6.99","2.36","2.72","2.72","2.36"
"1/14/2019 0:00","6.83","5.12","3.07","","8.36","2.188785","8.351189","5.18972","5.310887","4.685908","12.8","6.1","4.9","6.1","5.545455","7.818182","8","8.2","7.4","8.2","12.02","6.56","8.87","10.66","16.07","7.1","4.36","6.17","4.17","4.72","2.5","2.5","6.511268","16.043742","","11.1","7.86","6.71","1","4","11.542655","6.533282","7.498078","4.386559","12.403608","11","8.1","8.9","7.6","13.1","10","9.5","12.8","11.6","7.5","5.11","5.31","2.9","12.01","6.26","4.72","3.08","2.36","2.72"
"1/15/2019 0:00","8.41","6.48","5.85","6.55","10.2","6.14965","15.092278","9.454365","9.823951","6.30137","14.2","11.9","9.5","16.7","9.545455","14.636364","12.363636","9.8","6.7","8.6","19.87","13.66","12.66","17.8","19.45","10.64","8.73","13.24","7.26","8.71","7","7","6.791467","19.039992","","12.5","11.9","12.1","4","5","17.993694","10.241242","9.764797","6.247619","10.667127","10.2","10","9.4","8.8","14.8","15.2","12.9","9.1","14.3","10.44","6.85","7.95","3.3","13.37","7.98","5.63","3.08","2.72",""
